heading,description,duration_number,duration_time,category,difficulty_level,priority_level,frequency,created_by
"If nothing was impossible, what would I want/do",,60,Mins,Gain clarity ,Medium,Medium,Daily,admin
Something that I wanted to do but were afraid to try,,60,Mins,Gain clarity ,Medium,Medium,Daily,admin
Some shorter-term goals that can help me get to my long-term goals,,60,Mins,Gain clarity ,Medium,Medium,Daily,admin
"What do I enjoy, and what am I good at doing?",,60,Mins,Gain clarity ,Medium,Medium,Daily,admin
What do I enjoy but could get better at doing?,,60,Mins,Gain clarity ,Medium,Medium,Daily,admin
What do I enjoy doing but don't do well at all,,60,Mins,Gain clarity ,Medium,Medium,Daily,admin
Discover my values and priorities,,60,Mins,Gain clarity ,Medium,Medium,Daily,admin
What energizes me?,,60,Mins,Health,Medium,Medium,Daily,admin
What tires me?,,60,Mins,Health,Medium,Medium,Daily,admin
How much sleep do I need to really function well?,,60,Mins,Health,Medium,Medium,Daily,admin
What relaxes me?,,60,Mins,Health,Medium,Medium,Daily,admin
What stresses me out,,60,Mins,Health,Medium,Medium,Daily,admin
Nutirion goals to make a difference,,60,Mins,Health,Medium,Medium,Daily,admin
Discover the skills that are relevant to me,,60,Mins,Learn,Medium,Medium,Daily,admin
One skill that i want to focus on,,60,Mins,Learn,Medium,Medium,Daily,admin
Behavors to make me better,,60,Mins,Learn,Medium,Medium,Daily,admin
Learning new micro skills,,60,Mins,Learn,Medium,Medium,Daily,admin
Increase my productivitiy,,60,Mins,Follow through,Medium,Medium,Daily,admin
Overcome inertia,,60,Mins,Follow through,Medium,Medium,Daily,admin
Plan better,,60,Mins,Follow through,Medium,Medium,Daily,admin
Take action,,60,Mins,Follow through,Medium,Medium,Daily,admin
Making better decisions,,60,Mins,Follow through,Medium,Medium,Daily,admin
